IndexNumber,Balance,State
UENR9725,0,0
UENR9724,0,0
UENR9723,0,0
UENR9722,0,0
UENR9721,0,0
UENR9720,0,0
UENR9719,0,0
UENR9718,0,0
UENR9717,0,0
UENR9716,0,0
UENR9715,0,0
UENR9714,0,0
UENR9713,0,0
UENR9712,0,0
UENR9711,0,0
UENR9662,0,0
UENR9661,0,0
UENR9660,0,0
UENR9659,0,0
UENR9658,0,0
UENR9657,0,0
UENR9656,0,0
UENR9655,0,0
UENR9654,0,0
UENR9653,0,0
UENR9652,0,0
UENR9651,0,0
UENR9650,0,0
UENR9649,0,0
UENR9648,0,0
UENR9647,0,0
UENR9598,0,0
UENR9597,0,0
UENR9596,0,0
UENR9595,0,0
UENR9594,0,0
UENR9593,0,0
UENR9592,0,0
UENR9591,0,0
UENR9590,0,0
UENR9589,0,0
UENR9588,0,0
UENR9587,0,0
UENR9586,0,0
UENR9585,0,0
UENR9584,0,0
UENR9583,0,0
UENR9534,0,0
UENR9533,0,0
UENR9532,0,0
UENR9531,0,0
UENR9530,0,0
UENR9529,0,0
UENR9528,0,0
UENR9527,0,0
UENR9526,0,0
UENR9525,0,0
UENR9524,0,0
UENR9523,0,0
UENR9522,0,0
UENR9521,0,0
UENR9520,0,0
UENR9519,0,0
UENR9470,0,0
UENR9469,0,0
UENR9468,0,0
UENR9467,0,0
UENR9466,0,0
UENR9465,0,0
UENR9464,0,0
UENR9463,0,0
UENR9462,0,0
UENR9461,0,0
UENR9460,0,0
UENR9459,0,0
UENR9458,0,0
UENR9457,0,0
UENR9456,0,0
UENR9455,0,0
UENR9406,0,0
UENR9405,0,0
UENR9404,0,0
UENR9403,0,0
UENR9402,0,0
UENR9401,0,0
UENR9400,0,0
UENR9399,0,0
UENR9398,0,0
UENR9397,0,0
UENR9396,0,0
UENR9395,0,0
UENR9394,0,0
UENR9393,0,0
UENR9392,0,0
UENR9391,0,0
UENR9358,0,0
UENR9357,0,0
UENR9356,0,0
UENR9355,0,0
UENR9354,0,0
UENR9353,0,0
UENR9352,0,0
UENR9351,0,0
UENR9350,0,0
UENR9349,0,0
UENR9348,0,0
UENR9347,0,0
UENR9346,0,0
UENR9345,0,0
UENR9344,0,0
UENR9343,0,0
UENR9054,0,0
UENR9053,0,0
UENR9052,0,0
UENR9051,0,0
UENR9050,0,0
UENR9049,0,0
UENR9048,0,0
UENR9047,0,0
UENR9046,0,0
UENR9045,0,0
UENR9044,0,0
UENR9043,0,0
UENR9042,0,0
UENR9041,0,0
UENR9040,0,0
UENR9039,0,0
UENR9006,0,0
UENR9005,0,0
UENR9004,0,0
UENR9003,0,0
UENR9002,0,0
UENR9001,0,0
UENR9000,0,0
UENR8999,0,0
UENR8998,0,0
UENR8997,0,0
UENR8996,0,0
UENR8995,0,0
UENR8994,0,0
UENR8993,0,0
UENR8992,0,0
UENR8991,0,0
UENR8878,0,0
UENR8877,0,0
UENR8876,0,0
UENR8875,0,0
UENR8874,0,0
UENR8873,0,0
UENR8872,0,0
UENR8871,0,0
UENR8870,0,0
UENR8869,0,0
UENR8868,0,0
UENR8867,0,0
UENR8866,0,0
UENR8865,0,0
UENR8864,0,0
UENR8863,0,0
UENR8798,0,0
UENR8797,0,0
UENR8796,0,0
UENR8795,0,0
UENR8794,0,0
UENR8793,0,0
UENR8792,0,0
UENR8791,0,0
UENR8790,0,0
UENR8789,0,0
UENR8788,0,0
UENR8787,0,0
UENR8786,0,0
UENR8785,0,0
UENR8784,0,0
UENR8783,0,0
UENR8750,0,0
UENR8749,0,0
UENR8748,0,0
UENR8747,0,0
UENR8746,0,0
UENR8745,0,0
UENR8744,0,0
UENR8743,0,0
UENR8742,0,0
UENR8741,0,0
UENR8740,0,0
UENR8739,0,0
UENR8738,0,0
UENR8737,0,0
UENR8736,0,0
UENR8735,0,0
UENR8702,0,0
UENR8701,0,0
UENR8700,0,0
UENR8699,0,0
UENR8698,0,0
UENR8697,0,0
UENR8696,0,0
UENR8695,0,0
UENR8694,0,0
UENR8693,0,0
UENR8692,0,0
UENR8691,0,0
UENR8690,0,0
UENR8689,0,0
UENR8688,0,0
UENR8687,0,0
UENR8654,0,0
UENR8653,0,0
UENR8652,0,0
UENR8651,0,0
UENR8650,0,0
UENR8649,0,0
UENR8648,0,0
UENR8647,0,0
UENR8646,0,0
UENR8645,0,0
UENR8644,0,0
UENR8643,0,0
UENR8642,0,0
UENR8641,0,0
UENR8640,0,0
UENR8639,0,0
UENR8606,0,0
UENR8605,0,0
UENR8604,0,0
UENR8603,0,0
UENR8602,0,0
UENR8601,0,0
UENR8600,0,0
UENR8599,0,0
UENR8598,0,0
UENR8597,0,0
UENR8596,0,0
UENR8595,0,0
UENR8594,0,0
UENR8593,0,0
UENR8592,0,0
UENR8591,0,0
UENR8590,0,0
UENR8589,0,0
UENR8588,0,0
UENR8587,0,0
UENR8586,0,0
UENR8585,0,0
UENR8584,0,0
UENR8583,0,0
UENR8582,0,0
UENR8581,0,0
UENR8580,0,0
UENR8579,0,0
UENR8578,0,0
UENR8577,0,0
UENR8576,0,0
UENR8575,0,0
UENR8574,0,0
UENR8573,0,0
UENR8572,0,0
UENR8571,0,0
UENR8570,0,0
UENR8569,0,0
UENR8568,0,0
UENR8567,0,0
UENR8566,0,0
UENR8565,0,0
UENR8564,0,0
UENR8563,0,0
UENR8562,0,0
UENR8561,0,0
UENR8560,0,0
UENR8559,0,0
UENR8558,0,0
UENR8557,0,0
UENR8556,0,0
UENR8555,0,0
UENR8554,0,0
UENR8553,0,0
UENR8552,0,0
UENR8551,0,0
UENR8550,0,0
UENR8549,0,0
UENR8548,0,0
UENR8547,0,0
UENR8546,0,0
UENR8545,0,0
UENR8544,0,0
UENR8543,0,0
UENR8542,0,0
UENR8541,0,0
UENR8540,0,0
UENR8539,0,0
UENR8538,0,0
UENR8537,0,0
UENR8536,0,0
UENR8535,0,0
UENR8534,0,0
UENR8533,0,0
UENR8532,0,0
UENR8531,0,0
UENR8530,0,0
UENR8529,0,0
UENR8528,0,0
UENR8527,0,0
UENR8526,0,0
UENR8525,0,0
UENR8524,0,0
UENR8523,0,0
UENR8522,0,0
UENR8521,0,0
UENR8520,0,0
UENR8519,0,0
UENR8518,0,0
UENR8517,0,0
UENR8516,0,0
UENR8515,0,0
UENR8514,0,0
UENR8513,0,0
UENR8512,0,0
UENR8511,0,0
UENR8510,0,0
UENR8509,0,0
UENR8508,0,0
UENR8507,0,0
UENR8506,0,0
UENR8505,0,0
UENR8504,0,0
UENR8503,0,0
UENR8502,0,0
UENR8501,0,0
UENR8500,0,0
UENR8499,0,0
UENR8498,0,0
UENR8497,0,0
UENR8496,0,0
UENR8495,0,0
UENR8494,0,0
UENR8493,0,0
UENR8492,0,0
UENR8491,0,0
UENR8490,0,0
UENR8489,0,0
UENR8488,0,0
UENR8487,0,0
UENR8486,0,0
UENR8485,0,0
UENR8484,0,0
UENR8483,0,0
UENR8482,0,0
UENR8481,0,0
UENR8480,0,0
UENR8479,0,0
UENR8478,0,0
UENR8477,0,0
UENR8476,0,0
UENR8475,0,0
UENR8474,0,0
UENR8473,0,0
UENR8472,0,0
UENR8471,0,0
UENR8470,0,0
UENR8469,0,0
UENR8468,0,0
UENR8467,0,0
UENR8466,0,0
UENR8465,0,0
UENR8464,0,0
UENR8463,0,0
UENR8462,0,0
UENR8461,0,0
UENR8460,0,0
UENR8459,0,0
UENR8458,0,0
UENR8457,0,0
UENR8456,0,0
UENR8455,0,0
UENR8454,0,0
UENR8453,0,0
UENR8452,0,0
UENR8451,0,0
UENR8450,0,0
UENR8449,0,0
UENR8448,0,0
UENR8447,0,0
UENR8446,0,0
UENR8445,0,0
UENR8444,0,0
UENR8443,0,0
UENR8442,0,0
UENR8441,0,0
UENR8440,0,0
UENR8439,0,0
UENR8438,0,0
UENR8437,0,0
UENR8436,0,0
UENR8435,0,0
UENR8434,0,0
UENR8433,0,0
UENR8432,0,0
UENR8431,0,0
UENR8430,0,0
UENR8429,0,0
UENR8428,0,0
UENR8427,0,0
UENR8426,0,0
UENR8425,0,0
UENR8424,0,0
UENR8423,0,0
UENR8422,0,0
UENR8421,0,0
UENR8420,0,0
UENR8419,0,0
UENR8418,0,0
UENR8417,0,0
UENR8416,0,0
UENR8415,0,0
UENR8414,0,0
UENR8413,0,0
UENR8412,0,0
UENR8411,0,0
UENR8410,0,0
UENR8409,0,0
UENR8408,0,0
UENR8407,0,0
UENR8406,0,0
UENR8405,0,0
UENR8404,0,0
UENR8403,0,0
UENR8402,0,0
UENR8401,0,0
UENR8400,0,0
UENR8399,0,0
UENR8398,0,0
UENR8397,0,0
UENR8396,0,0
UENR8395,0,0
UENR8394,0,0
UENR8393,0,0
UENR8392,0,0
UENR8391,0,0
UENR8390,0,0
UENR8389,0,0
UENR8388,0,0
UENR8387,0,0
UENR8386,0,0
UENR8385,0,0
UENR8384,0,0
UENR8383,0,0
UENR8382,0,0
UENR8381,0,0
UENR8380,0,0
UENR8379,0,0
UENR8378,0,0
UENR8377,0,0
UENR8376,0,0
UENR8375,0,0
UENR8374,0,0
UENR8373,0,0
UENR8372,0,0
UENR8371,0,0
UENR8370,0,0
UENR8369,0,0
UENR8368,0,0
UENR8367,0,0
UENR8366,0,0
UENR8365,0,0
UENR8364,0,0
UENR8363,0,0
UENR8362,0,0
UENR8361,0,0
UENR8360,0,0
UENR8359,0,0
UENR8358,0,0
UENR8357,0,0
UENR8356,0,0
UENR8355,0,0
UENR8354,0,0
UENR8353,0,0
UENR8352,0,0
UENR8351,0,0
UENR8350,0,0
UENR8349,0,0
UENR8348,0,0
UENR8347,0,0
UENR8346,0,0
UENR8345,0,0
UENR8344,0,0
UENR8343,0,0
UENR8342,0,0
UENR8341,0,0
UENR8340,0,0
UENR8339,0,0
UENR8338,0,0
UENR8337,0,0
UENR8336,0,0
UENR8335,0,0
UENR8334,0,0
UENR8333,0,0
UENR8332,0,0
UENR8331,0,0
UENR8330,0,0
UENR8329,0,0
UENR8328,0,0
UENR8327,0,0
UENR8326,0,0
UENR8325,0,0
UENR8324,0,0
UENR8323,0,0
UENR8322,0,0
UENR8321,0,0
UENR8320,0,0
UENR8319,0,0
UENR8318,0,0
UENR8317,0,0
UENR8316,0,0
UENR8315,0,0
UENR8314,0,0
UENR8313,0,0
UENR8312,0,0
UENR8311,0,0
UENR8310,0,0
UENR8309,0,0
UENR8308,0,0
UENR8307,0,0
UENR8306,0,0
UENR8305,0,0
UENR8304,0,0
UENR8303,0,0
UENR8302,0,0
UENR8301,0,0
UENR8300,0,0
UENR8299,0,0
UENR8298,0,0
UENR8297,0,0
UENR8296,0,0
UENR8295,0,0
UENR8294,0,0
UENR8293,0,0
UENR8292,0,0
UENR8291,0,0
UENR8290,0,0
UENR8289,0,0
UENR8288,0,0
UENR8287,0,0
UENR8286,0,0
UENR8285,0,0
UENR8284,0,0
UENR8283,0,0
UENR8282,0,0
UENR8281,0,0
UENR8280,0,0
UENR8279,0,0
UENR8278,0,0
UENR8277,0,0
UENR8276,0,0
UENR8275,0,0
UENR8274,0,0
UENR8273,0,0
UENR8272,0,0
UENR8271,0,0
UENR8270,0,0
UENR8269,0,0
UENR8268,0,0
UENR8267,0,0
UENR8266,0,0
UENR8265,0,0
UENR8264,0,0
UENR8263,0,0
UENR8262,0,0
UENR8261,0,0
UENR8260,0,0
UENR8259,0,0
UENR8258,0,0
UENR8257,0,0
UENR8256,0,0
UENR8255,0,0
UENR8254,0,0
UENR8253,0,0
UENR8252,0,0
UENR8251,0,0
UENR8250,0,0
UENR8249,0,0
UENR8248,0,0
UENR8247,0,0
UENR8246,0,0
UENR8245,0,0
UENR8244,0,0
UENR8243,0,0
UENR8242,0,0
UENR8241,0,0
UENR8240,0,0
UENR8239,0,0
UENR8238,0,0
UENR8237,0,0
UENR8236,0,0
UENR8235,0,0
UENR8234,0,0
UENR8233,0,0
UENR8232,0,0
UENR8231,0,0
UENR8230,0,0
UENR8229,0,0
UENR8228,0,0
UENR8227,0,0
UENR8226,0,0
UENR8225,0,0
UENR8224,0,0
UENR8223,0,0
UENR8222,0,0
UENR8221,0,0
UENR8220,0,0
UENR8219,0,0
UENR8218,0,0
UENR8217,0,0
UENR8216,0,0
UENR8215,0,0
UENR8214,0,0
UENR8213,0,0
UENR8212,0,0
UENR8211,0,0
UENR8210,0,0
UENR8209,0,0
UENR8208,0,0
UENR8207,0,0
UENR8206,0,0
UENR8205,0,0
UENR8204,0,0
UENR8203,0,0
UENR8202,0,0
UENR8201,0,0
UENR8200,0,0
UENR8199,0,0
UENR8198,0,0
UENR8197,0,0
UENR8196,0,0
UENR8195,0,0
UENR8194,0,0
UENR8193,0,0
UENR8192,0,0
UENR8191,0,0
UENR8190,0,0
UENR8189,0,0
UENR8188,0,0
UENR8187,0,0
UENR8186,0,0
UENR8185,0,0
UENR8184,0,0
UENR8183,0,0
UENR8182,0,0
UENR8181,0,0
UENR8180,0,0
UENR8179,0,0
UENR8178,0,0
UENR8177,0,0
UENR8176,0,0
UENR8175,0,0
UENR8174,0,0
UENR8173,0,0
UENR8172,0,0
UENR8171,0,0
UENR8170,0,0
UENR8169,0,0
UENR8168,0,0
UENR8167,0,0
UENR8166,0,0
UENR8165,0,0
UENR8164,0,0
UENR8163,0,0
UENR8162,0,0
UENR8161,0,0
UENR8160,0,0
UENR8159,0,0
UENR8158,0,0
UENR8157,0,0
UENR8156,0,0
UENR8155,0,0
UENR8154,0,0
UENR8153,0,0
UENR8152,0,0
UENR8151,0,0
UENR8150,0,0
UENR8149,0,0
UENR8148,0,0
UENR8147,0,0
UENR8146,0,0
UENR8145,0,0
UENR8144,0,0
UENR8143,0,0
UENR8142,0,0
UENR8141,0,0
UENR8140,0,0
UENR8139,0,0
UENR8138,0,0
UENR8137,0,0
UENR8136,0,0
UENR8135,0,0
UENR8134,0,0
UENR8133,0,0
UENR8132,0,0
UENR8131,0,0
UENR8130,0,0
UENR8129,0,0
UENR8128,0,0
UENR8127,0,0
UENR8126,0,0
UENR8125,0,0
UENR8124,0,0
UENR8123,0,0
UENR8122,0,0
UENR8121,0,0
UENR8120,0,0
UENR8119,0,0
UENR8118,0,0
UENR8117,0,0
UENR8116,0,0
UENR8115,0,0
UENR8114,0,0
UENR8113,0,0
UENR8112,0,0
UENR8111,0,0
UENR8110,0,0
UENR8109,0,0
UENR8108,0,0
UENR8107,0,0
UENR8106,0,0
UENR8105,0,0
UENR8104,0,0
UENR8103,0,0
UENR8102,0,0
UENR8101,0,0
UENR8100,0,0
UENR8099,0,0
UENR8098,0,0
UENR8097,0,0
UENR8096,0,0
UENR8095,0,0
UENR8094,0,0
UENR8093,0,0
UENR8092,0,0
UENR8091,0,0
UENR8090,0,0
UENR8089,0,0
UENR8088,0,0
UENR8087,0,0
UENR8086,0,0
UENR8085,0,0
UENR8084,0,0
UENR8083,0,0
UENR8082,0,0
UENR8081,0,0
UENR8080,0,0
UENR8079,0,0
UENR8078,0,0
UENR8077,0,0
UENR8076,0,0
UENR8075,0,0
UENR8074,0,0
UENR8073,0,0
UENR8072,0,0
UENR8071,0,0
UENR8070,0,0
UENR8069,0,0
UENR8068,0,0
UENR8067,0,0
UENR8066,0,0
UENR8065,0,0
UENR8064,0,0
UENR8063,0,0
UENR8062,0,0
UENR8061,0,0
UENR8060,0,0
UENR8059,0,0
UENR8058,0,0
UENR8057,0,0
UENR8056,0,0
UENR8055,0,0
UENR8054,0,0
UENR8053,0,0
UENR8052,0,0
UENR8051,0,0
UENR8050,0,0
UENR8049,0,0
UENR8048,0,0
UENR8047,0,0
UENR8046,0,0
UENR8045,0,0
UENR8044,0,0
UENR8043,0,0
UENR8042,0,0
UENR8041,0,0
UENR8040,0,0
UENR8039,0,0
UENR8038,0,0
UENR8037,0,0
UENR8036,0,0
UENR8035,0,0
UENR8034,0,0
UENR8033,0,0
UENR8032,0,0
UENR8031,0,0
UENR8030,0,0
UENR8029,0,0
UENR8028,0,0
UENR8027,0,0
UENR8026,0,0
UENR8025,0,0
UENR8024,0,0
UENR8023,0,0
UENR8022,0,0
UENR8021,0,0
UENR8020,0,0
UENR8019,0,0
UENR8018,0,0
UENR8017,0,0
UENR8016,0,0
UENR8015,0,0
UENR8014,0,0
UENR8013,0,0
UENR8012,0,0
UENR8011,0,0
UENR8010,0,0
UENR8009,0,0
UENR8008,0,0
UENR8007,0,0
UENR8006,0,0
UENR8005,0,0
UENR8004,0,0
UENR8003,0,0
UENR8002,0,0
UENR8001,0,0
UENR8000,0,0
UENR7999,0,0
UENR7998,0,0
UENR7997,0,0
UENR7996,0,0
UENR7995,0,0
UENR7994,0,0
UENR7993,0,0
UENR7992,0,0
UENR7991,0,0
UENR7990,0,0
UENR7989,0,0
UENR7988,0,0
UENR7987,0,0
UENR7986,0,0
UENR7985,0,0
UENR7984,0,0
UENR7983,0,0
UENR7982,0,0
UENR7981,0,0
UENR7980,0,0
UENR7979,0,0
UENR7978,0,0
UENR7977,0,0
UENR7976,0,0
UENR7975,0,0
UENR7974,0,0
UENR7973,0,0
UENR7972,0,0
UENR7971,0,0
UENR7970,0,0
UENR7969,0,0
UENR7968,0,0
UENR7967,0,0
UENR7966,0,0
UENR7965,0,0
UENR7964,0,0
UENR7963,0,0
UENR7962,0,0
UENR7961,0,0
UENR7960,0,0
UENR7959,0,0
UENR7958,0,0
UENR7957,0,0
UENR7956,0,0
UENR7955,0,0
UENR7954,0,0
UENR7953,0,0
UENR7952,0,0
UENR7951,0,0
UENR7950,0,0
UENR7949,0,0
UENR7948,0,0
UENR7947,0,0
UENR7946,0,0
UENR7945,0,0
UENR7944,0,0
UENR7943,0,0
UENR7942,0,0
UENR7941,0,0
UENR7940,0,0
UENR7939,0,0
UENR7938,0,0
UENR7937,0,0
UENR7936,0,0
UENR7935,0,0
UENR7934,0,0
UENR7933,0,0
UENR7932,0,0
UENR7931,0,0
UENR7930,0,0
UENR7929,0,0
UENR7928,0,0
UENR7927,0,0
UENR7926,0,0
UENR7925,0,0
UENR7924,0,0
UENR7923,0,0
UENR7922,0,0
UENR7921,0,0
UENR7920,0,0
UENR7919,0,0
UENR7918,0,0
UENR7917,0,0
UENR7916,0,0
UENR7915,0,0
UENR7914,0,0
UENR7913,0,0
UENR7912,0,0
UENR7911,0,0
UENR7910,0,0
UENR7909,0,0
UENR7908,0,0
UENR7907,0,0
UENR7906,0,0
UENR7905,0,0
UENR7904,0,0
UENR7903,0,0
UENR7902,0,0
UENR7901,0,0
UENR7900,0,0
UENR7899,0,0
UENR7898,0,0
UENR7897,0,0
UENR7896,0,0
UENR7895,0,0
UENR7894,0,0
UENR7893,0,0
UENR7892,0,0
UENR7891,0,0
UENR7890,0,0
UENR7889,0,0
UENR7888,0,0
UENR7887,0,0
UENR7886,0,0
UENR7885,0,0
UENR7884,0,0
UENR7883,0,0
UENR7882,0,0
UENR7881,0,0
UENR7880,0,0
UENR7879,0,0
UENR7878,0,0
UENR7877,0,0
UENR7876,0,0
UENR7875,0,0
UENR7874,0,0
UENR7873,0,0
UENR7872,0,0
UENR7871,0,0
UENR7870,0,0
UENR7869,0,0
UENR7868,0,0
UENR7867,0,0
UENR7866,0,0
UENR7865,0,0
UENR7864,0,0
UENR7863,0,0
UENR7862,0,0
UENR7861,0,0
UENR7860,0,0
UENR7859,0,0
UENR7858,0,0
UENR7857,0,0
UENR7856,0,0
UENR7855,0,0
UENR7854,0,0
UENR7853,0,0
UENR7852,0,0
UENR7851,0,0
UENR7850,0,0
UENR7849,0,0
UENR7848,0,0
UENR7847,0,0
UENR7846,0,0
UENR7845,0,0
UENR7844,0,0
UENR7843,0,0
UENR7842,0,0
UENR7841,0,0
UENR7840,0,0
UENR7839,0,0
UENR7838,0,0
UENR7837,0,0
UENR7836,0,0
UENR7835,0,0
UENR7834,0,0
UENR7833,0,0
UENR7832,0,0
UENR7831,0,0
UENR7830,0,0
UENR7829,0,0
UENR7828,0,0
UENR7827,0,0
UENR7826,0,0
UENR7825,0,0
UENR7824,0,0
UENR7823,0,0
UENR7822,0,0
UENR7821,0,0
UENR7820,0,0
UENR7819,0,0
UENR7818,0,0
UENR7817,0,0
UENR7816,0,0
UENR7815,0,0
UENR7814,0,0
UENR7813,0,0
UENR7812,0,0
UENR7811,0,0
UENR7810,0,0
UENR7809,0,0
UENR7808,0,0
UENR7807,0,0
UENR7806,0,0
UENR7805,0,0
UENR7804,0,0
UENR7803,0,0
UENR7802,0,0
UENR7801,0,0
UENR7800,0,0
UENR7799,0,0
UENR7798,0,0
UENR7797,0,0
UENR7796,0,0
UENR7795,0,0
UENR7794,0,0
UENR7793,0,0
UENR7792,0,0
UENR7791,0,0
UENR7790,0,0
UENR7789,0,0
UENR7788,0,0
UENR7787,0,0
UENR7786,0,0
UENR7785,0,0
UENR7784,0,0
UENR7783,0,0
UENR7782,0,0
UENR7781,0,0
UENR7780,0,0
UENR7779,0,0
UENR7778,0,0
UENR7777,0,0
UENR7776,0,0
UENR7775,0,0
UENR7774,0,0
UENR7773,0,0
UENR7772,0,0
UENR7771,0,0
UENR7770,0,0
UENR7769,0,0
UENR7768,0,0
UENR7767,0,0
UENR7766,0,0
UENR7765,0,0
UENR7764,0,0
UENR7763,0,0
UENR7762,0,0
UENR7761,0,0
UENR7760,0,0
UENR7759,0,0
UENR7758,0,0
UENR7757,0,0
UENR7756,0,0
UENR7755,0,0
UENR7754,0,0
